data,Benchmark,LSTM_rm
2007-12-31,0.0,0.0
2008-01-31,0.0,0.0
2008-02-29,0.0,0.0
2008-03-31,0.0,0.0
2008-04-30,0.0,0.0
2008-05-31,0.0,0.0
2008-06-30,0.0,0.0
2008-07-31,-0.14052225037554478,-0.22724180212887846
2008-08-31,-0.12506856097412888,0.150324250006324
2008-09-30,-0.22445512895014796,0.013283252389555633
2008-10-31,-0.3896417518106665,-0.40143275693564495
2008-11-30,-0.4592483341272069,-0.6551893074967149
2008-12-31,-0.4575833154572504,-0.7554265529706745
2009-01-31,-0.5396976351395416,-0.9782346671514667
2009-02-28,-0.6471466430972127,-0.9531122667707349
2009-03-31,-0.5715346274768195,-0.9040370333456355
2009-04-30,-0.4721885276355574,-0.8657481132952468
2009-05-31,-0.4137350762813704,-0.8789259006144876
2009-06-30,-0.4200033334812663,-0.8376859325800345
2009-07-31,-0.3453975603651127,-0.7738437833698522
2009-08-31,-0.3084579629957829,-0.7600435509416399
2009-09-30,-0.27790948279486605,-0.7116377280798676
2009-10-31,-0.29713477732751126,-0.7017807698231375
2009-11-30,-0.23552793073404032,-0.6728424737783192
2009-12-31,-0.22188412532481783,-0.6462974335931537
2010-01-31,-0.258226578331199,-0.6851933131735464
2010-02-28,-0.22703188149573172,-0.6562500283881525
2010-03-31,-0.170503054902007,-0.5984568906091026
2010-04-30,-0.1550329902986416,-0.6011947937745437
2010-05-31,-0.23448753962944335,-0.6403029319825703
2010-06-30,-0.2907186941639174,-0.7131843820866929
2010-07-31,-0.22241802240468045,-0.6971005226449513
2010-08-31,-0.26739851787461055,-0.7250414730510559
2010-09-30,-0.18364578879571347,-0.6444737441043118
2010-10-31,-0.14544373223497886,-0.6127007412728287
2010-11-30,-0.14544373223497886,-0.62949821129114
2010-12-31,-0.0844258953940491,-0.6162342516534731
